WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
CRESTWYND HZ MEANOOK 10-14-63-22,499159,ALBERTA CROWN,671.6M,102/10-14-063-22W4/00  S  562.5M  W,82.2M,ST. ALBERT,2490.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-02,DEV (C),MEANOOK,CLEARWATER FM,CRESTWYND EXPLORATION LTD.,09-23-063-22W4,23063224,53,1,2021.0,23063224.0,54.46348424,-113.2069111
CRESTWYND HZ MEANOOK 9-14-63-22,499160,ALBERTA CROWN,671.6M,100/09-14-063-22W4/00  S  572.5M  W,82.3M,ST. ALBERT,2645.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-02,DEV (C),MEANOOK,CLEARWATER FM,CRESTWYND EXPLORATION LTD.,09-23-063-22W4,23063224,53,1,2021.0,23063224.0,54.46348424,-113.2069111
CNRL 5HZ RE WILDMERE 16-26-48-6,467485,BOTH,639M,103/16-26-048-06W4/02  S  230.3M  W,60.1M,WAINWRIGHT,2278.0,HORIZONTAL,RESUMPTIO,PRODUCTION,CRUDE OIL,2021-01-13,DEV (NC),WILDMERE,GENERAL PETROLEUM MBR,CANADIAN NATURAL RESOURCES LIMITED,16-23-048-06W4,23048064,2,1,2021.0,23048064.0,53.15413957,-110.7609824
PIPE 102 HZ ELM 12-14-71-8,499253,ALBERTA CROWN,716.4M,102/12-14-071-08W6/00  N  501.0M  E,670.2M,GRANDE PRAIRIE,5000.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),ELMWORTH,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
PIPE HZ  ELM 13-14-71-8,499254,ALBERTA CROWN,716.3M,100/13-14-071-08W6/00  N  511.0M  E,670.2M,GRANDE PRAIRIE,5000.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),ELMWORTH,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
PIPE HZ WEMBLEY 4-23-71-8,499255,ALBERTA CROWN,716.2M,100/04-23-071-08W6/00  N  521.0M  E,670.2M,GRANDE PRAIRIE,5100.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),WEMBLEY,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
PIPE HZ WEMBLEY 5-23-71-8,499256,ALBERTA CROWN,716.5M,100/05-23-071-08W6/00  N  501.0M  E,720.2M,GRANDE PRAIRIE,5029.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),WEMBLEY,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
PIPE 102 HZ WEMBLEY 5-23-71-8,499257,ALBERTA CROWN,716.4M,102/05-23-071-08W6/00  N  511.0M  E,720.2M,GRANDE PRAIRIE,5294.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),WEMBLEY,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
PIPE HZ WEMBLEY 12-23-71-8,499258,ALBERTA CROWN,716.3M,100/12-23-071-08W6/00  N  521.0M  E,720.2M,GRANDE PRAIRIE,5383.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),WEMBLEY,MONTNEY FM,PIPESTONE ENERGY CORP.,06-13-071-08W6,13071086,2,1,2021.0,13071086.0,55.1488413,-119.0770659
WHITECAP PEMBINA 9-32-49-11,499259,ALBERTA CROWN,957.8M,104/09-32-049-11W5/00  N  423.5M  W,413.7M,DRAYTON VALLEY,3997.0,NATURAL DRIFT,NEW,PRODUCTION,CRUDE OIL,2021-01-13,DEV (NC),PEMBINA,CARDIUM FM,WHITECAP RESOURCES INC.,07-08-050-11W5,8050115,2,1,2021.0,8050115.0,53.30153155,-115.5620107
7GEN HZ 103 KAKWA 1-36-63-6,499260,ALBERTA CROWN,971.5M,103/01-36-063-06W6/00  N  394.6M  W,28.6M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,01-02-064-06W6,2064066,2,1,2021.0,2064066.0,54.50896928,-118.7807083
7GEN HZ 104 KAKWA 1-36-63-6,499261,ALBERTA CROWN,971.5M,104/01-36-063-06W6/00  N  384.4M  W,24.4M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-13,DEV (C),KAKWA,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,01-02-064-06W6,2064066,2,1,2021.0,2064066.0,54.50896928,-118.7807083
